Semester,Age,Gender,Address,Region,Family_Size,Family_Income,First_Generation_Student,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Reason_for_Choosing_School,Guardian,GPA,Marks_Math,Marks_Physics,Marks_CS,Marks_English,Marks_Economics,Marks_Elective,Grade_1,Grade_2,Final_Grade,Number_of_Backlogs,Number_of_Failures,Attendance_Pct,Assignment_Score,Credits_Completed,Study_Time,Number_of_Absences,LMS_Activity_Score,Login_Frequency_Per_Week,Participation_Level,Class_Engagement_Score,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Wants_Higher_Education,Internet_Access,In_Relationship,Attended_Nursery,Travel_Time,Family_Relationship,Free_Time,Going_Out,Weekend_Alcohol_Consumption,Weekday_Alcohol_Consumption,Health_Status,Tuition_Fee_Payment_Status,Scholarship_Available,Financial_Aid,Dropped_Out
1,21,Other,Urban,Central,<=3,Middle,No,Together,Higher,Secondary,Teacher,Teacher,Reputation,Other,3.49,42.7,21.9,26.5,33.2,26.6,37.4,6,8,7,2,2,63.5,28.9,16,4,11,50.9,1,Low,4.1,No,No,No,Yes,No,Yes,Yes,No,3,1,1,1,5,4,2,Paid,No,Yes,0
2,22,Other,Urban,Central,<=3,Middle,No,Together,Higher,Secondary,Teacher,Teacher,Reputation,Other,3.15,32.3,30.7,25.8,27.4,15.8,30.2,4,6,5,2,3,43.7,25.5,32,2,12,32.6,1,Low,1.8,No,Yes,Yes,No,No,Yes,Yes,No,3,1,1,3,5,5,3,Unpaid,No,Yes,1
3,22,Other,Urban,Central,<=3,Middle,No,Together,Higher,Secondary,Teacher,Teacher,Reputation,Other,2.22,18.7,28.2,17.9,11.0,11.3,14.9,5,4,4,0,3,59.9,16.8,72,2,8,50.7,4,Low,2.1,No,Yes,Yes,No,No,Yes,Yes,No,3,1,4,2,3,3,2,Paid,No,Yes,1
4,23,Other,Urban,Central,<=3,Middle,No,Together,Higher,Secondary,Teacher,Teacher,Reputation,Other,1.83,13.3,17.4,37.1,12.8,30.5,7.5,2,6,4,0,3,71.0,8.7,96,4,10,63.1,3,Low,2.3,No,Yes,Yes,Yes,No,Yes,Yes,No,3,1,1,1,5,4,1,Paid,No,Yes,1
1,23,Male,Urban,Central,>3,Low,Yes,Apart,Primary,Unknown,Other,Services,Other,Other,9.83,69.5,87.2,70.3,70.3,80.9,81.3,17,18,18,0,0,90.3,56.7,24,1,6,59.6,6,High,7.2,No,No,Yes,No,Yes,Yes,Yes,Yes,1,5,3,5,1,3,4,Partial,No,No,0
2,24,Male,Urban,Central,>3,Low,Yes,Apart,Primary,Unknown,Other,Services,Other,Other,8.87,65.5,67.9,68.6,68.8,69.4,71.9,15,16,16,0,0,93.0,71.7,48,2,1,74.9,8,High,5.5,No,Yes,No,No,Yes,Yes,Yes,Yes,1,5,1,4,3,1,3,Paid,No,No,0
3,24,Male,Urban,Central,>3,Low,Yes,Apart,Primary,Unknown,Other,Services,Other,Other,8.57,58.0,66.3,57.9,70.5,62.4,74.3,15,15,15,0,0,66.5,61.6,72,4,5,62.1,10,High,7.0,No,Yes,No,No,Yes,Yes,Yes,Yes,1,5,3,1,4,3,2,Partial,No,No,0
4,25,Male,Urban,Central,>3,Low,Yes,Apart,Primary,Unknown,Other,Services,Other,Other,7.34,48.1,52.3,50.0,49.8,65.5,67.2,15,13,14,2,0,82.1,57.2,64,4,1,75.6,5,Medium,6.6,No,Yes,No,Yes,Yes,Yes,Yes,Yes,1,5,3,1,4,1,4,Partial,No,No,0
1,25,Female,Urban,Central,>3,Low,No,Together,Primary,Unknown,Home,Healthcare,Other,Mother,8.68,63.6,58.4,67.8,47.3,55.0,63.5,15,17,16,0,0,80.2,54.0,24,2,4,50.9,4,High,4.1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,4,1,3,3,5,1,3,Unpaid,No,Yes,0
2,26,Female,Urban,Central,>3,Low,No,Together,Primary,Unknown,Home,Healthcare,Other,Mother,7.2,62.4,53.6,47.4,61.2,48.7,41.7,14,13,14,0,1,69.4,48.6,48,4,4,48.1,5,Medium,6.8,No,Yes,Yes,Yes,Yes,Yes,No,Yes,4,1,3,1,2,5,4,Partial,No,Yes,0
3,26,Female,Urban,Central,>3,Low,No,Together,Primary,Unknown,Home,Healthcare,Other,Mother,6.88,46.1,56.2,43.2,44.8,58.1,49.0,15,13,14,0,0,80.4,52.8,72,4,4,44.3,6,Medium,6.9,No,No,No,Yes,Yes,Yes,No,Yes,4,1,5,2,1,1,2,Partial,No,Yes,0
4,27,Female,Urban,Central,>3,Low,No,Together,Primary,Unknown,Home,Healthcare,Other,Mother,7.74,42.8,57.0,50.8,61.3,57.1,62.8,14,14,14,1,0,67.4,57.5,80,2,4,57.8,3,High,7.1,Yes,Yes,No,Yes,Yes,Yes,No,Yes,4,1,5,2,3,1,3,Paid,No,Yes,0
1,23,Female,Rural,South,<=3,Middle,No,Together,Unknown,Unknown,Healthcare,Teacher,Course,Father,6.74,41.6,52.8,54.3,50.3,52.6,52.8,12,12,12,0,1,93.6,58.5,24,1,5,66.8,4,Medium,5.5,No,Yes,No,Yes,Yes,No,No,No,2,3,1,4,4,5,5,Paid,Yes,Yes,0
2,24,Female,Rural,South,<=3,Middle,No,Together,Unknown,Unknown,Healthcare,Teacher,Course,Father,7.94,50.9,78.8,58.1,65.6,69.0,52.0,14,16,15,1,0,82.9,46.9,40,3,3,67.3,3,High,7.6,Yes,No,Yes,Yes,Yes,No,No,No,2,3,2,3,5,5,3,Partial,Yes,Yes,0
3,24,Female,Rural,South,<=3,Middle,No,Together,Unknown,Unknown,Healthcare,Teacher,Course,Father,5.4,37.0,30.7,41.5,43.1,43.4,35.1,9,11,10,1,1,81.1,35.4,60,2,5,67.2,4,Low,5.6,Yes,No,Yes,No,Yes,No,No,No,2,3,5,4,4,2,4,Paid,Yes,Yes,0
4,25,Female,Rural,South,<=3,Middle,No,Together,Unknown,Unknown,Healthcare,Teacher,Course,Father,6.94,55.9,61.6,63.6,44.5,56.7,43.9,13,11,12,0,0,79.9,47.3,96,3,6,70.4,4,Medium,7.4,No,No,No,No,Yes,No,No,No,2,3,4,1,3,5,2,Paid,Yes,Yes,0
1,21,Male,Urban,North,>3,Middle,Yes,Together,Unknown,Higher,Other,Home,Other,Father,5.17,46.4,45.6,32.7,30.0,45.5,28.6,12,12,12,0,0,79.3,46.1,24,4,6,63.5,1,Low,3.8,No,Yes,No,Yes,Yes,Yes,No,Yes,1,1,1,1,5,4,4,Paid,No,No,0
2,22,Male,Urban,North,>3,Middle,Yes,Together,Unknown,Higher,Other,Home,Other,Father,7.51,52.8,61.1,52.4,39.8,61.3,53.4,16,15,16,1,0,79.7,38.5,40,3,2,49.9,3,High,5.1,No,Yes,No,Yes,Yes,Yes,No,Yes,1,1,4,1,5,2,4,Partial,No,No,0
3,22,Male,Urban,North,>3,Middle,Yes,Together,Unknown,Higher,Other,Home,Other,Father,6.41,45.5,54.8,42.9,34.1,50.7,52.7,11,13,12,1,0,77.7,57.6,60,4,7,54.3,5,Medium,6.1,No,Yes,No,Yes,Yes,Yes,No,Yes,1,1,2,1,3,1,1,Partial,No,No,0
4,23,Male,Urban,North,>3,Middle,Yes,Together,Unknown,Higher,Other,Home,Other,Father,4.37,33.3,30.5,29.5,40.9,27.5,25.2,7,8,8,1,3,83.2,15.2,80,2,4,85.2,6,Low,2.6,No,No,Yes,Yes,Yes,Yes,No,Yes,1,1,4,4,1,4,3,Paid,No,No,1
1,23,Female,Rural,Central,<=3,Middle,No,Together,Unknown,Unknown,Home,Home,Reputation,Mother,7.6,50.7,56.4,60.4,58.1,57.0,72.9,12,14,13,0,0,85.7,53.3,24,4,3,73.2,3,High,7.1,No,Yes,No,No,Yes,No,No,Yes,3,3,1,1,4,1,3,Paid,No,No,0
2,24,Female,Rural,Central,<=3,Middle,No,Together,Unknown,Unknown,Home,Home,Reputation,Mother,8.45,77.1,91.8,65.4,57.9,58.8,59.3,12,18,15,1,1,93.1,56.7,40,4,4,64.5,2,High,6.2,No,Yes,No,Yes,Yes,No,No,Yes,3,3,3,2,5,4,3,Paid,No,No,0
3,24,Female,Rural,Central,<=3,Middle,No,Together,Unknown,Unknown,Home,Home,Reputation,Mother,8.29,62.9,73.7,64.2,56.5,61.3,74.7,16,13,14,0,0,94.9,55.0,72,2,3,75.0,4,High,7.8,No,Yes,No,No,Yes,No,No,Yes,3,3,4,4,1,2,3,Partial,No,No,0
4,25,Female,Rural,Central,<=3,Middle,No,Together,Unknown,Unknown,Home,Home,Reputation,Mother,7.89,49.3,62.0,48.0,63.6,56.6,57.4,15,17,16,1,0,83.4,61.5,80,2,0,77.7,1,High,4.3,Yes,No,Yes,Yes,Yes,No,No,Yes,3,3,5,3,2,3,2,Paid,No,No,0
1,21,Male,Rural,Central,>3,Middle,No,Apart,Unknown,Primary,Services,Teacher,Home_Proximity,Mother,4.91,32.9,35.3,46.4,49.2,23.9,30.0,7,8,8,4,0,77.9,35.6,8,1,4,59.0,6,Low,3.9,No,No,No,Yes,Yes,Yes,No,Yes,4,2,4,5,3,2,2,Paid,No,Yes,0
2,22,Male,Rural,Central,>3,Middle,No,Apart,Unknown,Primary,Services,Teacher,Home_Proximity,Mother,9.21,78.6,79.4,70.6,86.6,68.6,66.7,17,17,17,0,0,77.1,75.8,48,4,6,67.2,9,High,7.3,Yes,Yes,Yes,No,Yes,Yes,No,Yes,4,2,1,1,3,2,3,Partial,No,Yes,0
3,22,Male,Rural,Central,>3,Middle,No,Apart,Unknown,Primary,Services,Teacher,Home_Proximity,Mother,7.56,50.3,60.3,53.6,62.0,58.6,59.3,12,15,14,0,0,69.4,57.4,72,4,3,51.5,3,High,5.2,No,Yes,No,Yes,Yes,Yes,No,Yes,4,2,3,1,3,4,5,Paid,No,Yes,0
4,23,Male,Rural,Central,>3,Middle,No,Apart,Unknown,Primary,Services,Teacher,Home_Proximity,Mother,4.66,27.5,36.9,42.8,35.7,33.9,26.5,8,8,8,3,0,70.6,32.7,48,4,5,45.3,3,Low,4.5,No,No,No,Yes,Yes,Yes,No,Yes,4,2,2,2,4,5,1,Partial,No,Yes,1
1,19,Female,Urban,South,>3,Low,No,Together,Unknown,Unknown,Teacher,Services,Other,Mother,9.85,76.3,62.4,79.5,80.0,77.0,71.8,16,19,18,0,1,85.8,59.6,24,2,5,72.5,1,High,9.3,No,Yes,No,Yes,No,Yes,No,No,4,2,2,3,2,2,5,Partial,No,Yes,0
2,20,Female,Urban,South,>3,Low,No,Together,Unknown,Unknown,Teacher,Services,Other,Mother,7.78,51.9,48.6,57.0,59.3,61.5,53.4,12,14,13,0,0,81.1,50.3,48,3,4,69.8,7,High,6.0,No,No,No,Yes,No,Yes,No,No,4,2,4,2,1,4,1,Unpaid,No,Yes,0
3,20,Female,Urban,South,>3,Low,No,Together,Unknown,Unknown,Teacher,Services,Other,Mother,5.38,42.5,36.5,43.1,45.4,46.2,42.1,10,11,10,0,0,85.5,48.2,72,3,3,57.6,6,Low,3.5,Yes,No,No,Yes,No,Yes,No,No,4,2,4,3,5,1,1,Paid,No,Yes,0
4,21,Female,Urban,South,>3,Low,No,Together,Unknown,Unknown,Teacher,Services,Other,Mother,5.8,37.1,31.0,35.4,41.4,36.4,30.7,11,10,10,0,0,72.9,40.2,96,2,7,57.9,1,Medium,7.1,No,Yes,No,Yes,No,Yes,No,No,4,2,2,2,5,3,4,Paid,No,Yes,0
1,23,Female,Rural,North,>3,High,Yes,Together,Higher,Higher,Services,Teacher,Other,Father,8.41,54.6,73.9,70.5,75.4,62.6,63.9,15,16,16,1,0,92.6,69.4,20,1,3,69.7,2,High,7.3,Yes,No,No,Yes,Yes,Yes,No,Yes,1,3,3,3,3,3,4,Paid,No,Yes,0
2,24,Female,Rural,North,>3,High,Yes,Together,Higher,Higher,Services,Teacher,Other,Father,6.38,53.8,37.2,46.8,59.6,47.0,41.4,11,11,11,1,0,64.7,53.6,40,2,13,53.7,9,Medium,3.9,No,No,Yes,Yes,Yes,Yes,No,Yes,1,3,1,4,4,4,5,Paid,No,Yes,0
3,24,Female,Rural,North,>3,High,Yes,Together,Higher,Higher,Services,Teacher,Other,Father,7.64,66.7,46.4,66.3,53.7,57.8,66.9,11,13,12,0,0,78.8,54.1,72,2,7,73.9,5,High,5.5,No,Yes,Yes,No,Yes,Yes,No,Yes,1,3,1,2,5,4,5,Paid,No,Yes,0
4,25,Female,Rural,North,>3,High,Yes,Together,Higher,Higher,Services,Teacher,Other,Father,5.68,46.2,33.5,39.9,40.3,44.2,52.5,7,12,10,0,0,70.7,49.9,96,4,1,52.2,6,Medium,4.7,No,No,No,Yes,Yes,Yes,No,Yes,1,3,3,1,5,5,1,Paid,No,Yes,0
1,18,Male,Urban,East,>3,Low,No,Together,Higher,Primary,Home,Healthcare,Reputation,Father,8.18,59.9,60.0,62.7,56.9,60.1,60.5,14,17,16,1,0,75.7,49.4,20,2,3,72.8,5,High,5.0,No,Yes,Yes,No,Yes,Yes,Yes,No,3,5,4,3,4,1,4,Unpaid,Yes,No,0
2,19,Male,Urban,East,>3,Low,No,Together,Higher,Primary,Home,Healthcare,Reputation,Father,5.91,39.8,40.2,47.9,44.4,37.1,47.4,11,12,12,0,0,85.9,35.2,48,2,7,75.8,2,Medium,6.7,No,No,Yes,Yes,Yes,Yes,Yes,No,3,5,1,4,2,1,5,Partial,Yes,No,0
3,19,Male,Urban,East,>3,Low,No,Together,Higher,Primary,Home,Healthcare,Reputation,Father,4.67,24.8,31.3,33.1,39.8,26.6,26.1,10,10,10,1,0,85.2,21.8,60,4,3,70.9,3,Low,3.1,No,No,Yes,No,Yes,Yes,Yes,No,3,5,2,1,1,4,4,Partial,Yes,No,0
4,20,Male,Urban,East,>3,Low,No,Together,Higher,Primary,Home,Healthcare,Reputation,Father,4.21,45.1,30.7,37.5,34.2,15.8,16.1,8,6,7,3,2,74.3,31.0,48,4,6,56.2,3,Low,2.1,Yes,No,Yes,Yes,Yes,Yes,Yes,No,3,5,5,2,4,5,3,Unpaid,Yes,No,1
1,25,Male,Urban,South,<=3,Middle,Yes,Together,Unknown,Unknown,Services,Healthcare,Other,Father,6.5,60.0,53.0,41.3,47.6,44.4,43.5,8,11,10,1,0,85.5,52.3,20,3,1,93.9,3,Medium,4.3,No,No,Yes,No,Yes,Yes,No,Yes,4,5,5,3,2,4,5,Partial,No,Yes,0
2,26,Male,Urban,South,<=3,Middle,Yes,Together,Unknown,Unknown,Services,Healthcare,Other,Father,5.82,41.3,40.8,29.6,41.0,40.9,46.2,10,8,9,1,0,81.2,41.5,40,2,2,64.4,6,Medium,4.1,Yes,No,Yes,No,Yes,Yes,No,Yes,4,5,4,4,3,5,3,Partial,No,Yes,0
3,26,Male,Urban,South,<=3,Middle,Yes,Together,Unknown,Unknown,Services,Healthcare,Other,Father,2.82,28.9,11.0,14.3,23.7,17.8,23.4,3,4,4,2,1,79.0,37.3,48,4,8,64.1,4,Low,2.4,Yes,Yes,No,No,Yes,Yes,No,Yes,4,5,1,1,3,3,1,Paid,No,Yes,0
4,27,Male,Urban,South,<=3,Middle,Yes,Together,Unknown,Unknown,Services,Healthcare,Other,Father,6.66,47.2,55.2,52.3,40.4,51.2,62.9,11,11,11,0,0,52.8,28.4,96,4,11,39.8,2,Medium,5.9,No,No,No,Yes,Yes,Yes,No,Yes,4,5,4,2,1,1,4,Unpaid,No,Yes,1
1,17,Female,Urban,North,>3,Middle,Yes,Together,Primary,Primary,Services,Home,Other,Mother,7.57,60.2,62.2,50.3,48.4,57.5,67.9,13,13,13,0,0,94.2,63.8,24,1,5,71.4,2,High,5.5,Yes,Yes,Yes,No,No,Yes,No,No,3,1,3,4,3,2,4,Paid,No,No,0
2,18,Female,Urban,North,>3,Middle,Yes,Together,Primary,Primary,Services,Home,Other,Mother,8.01,59.7,70.3,48.4,51.2,55.7,44.1,13,17,15,0,0,72.7,58.4,48,3,4,63.7,3,High,7.0,Yes,No,No,Yes,No,Yes,No,No,3,1,5,1,3,3,3,Partial,No,No,0
3,18,Female,Urban,North,>3,Middle,Yes,Together,Primary,Primary,Services,Home,Other,Mother,5.71,36.4,60.5,50.9,45.4,38.6,37.3,12,11,12,0,0,90.8,36.4,72,2,1,81.9,1,Medium,4.3,No,No,No,Yes,No,Yes,No,No,3,1,2,2,1,4,3,Paid,No,No,0
4,19,Female,Urban,North,>3,Middle,Yes,Together,Primary,Primary,Services,Home,Other,Mother,8.04,73.4,74.0,54.3,79.3,57.3,56.9,14,17,16,0,1,85.7,62.2,96,4,10,83.3,5,High,4.5,Yes,Yes,Yes,No,No,Yes,No,No,3,1,3,2,2,5,3,Partial,No,No,0
1,22,Female,Urban,Central,>3,High,No,Together,Higher,Primary,Home,Teacher,Reputation,Father,6.11,46.9,40.8,48.4,40.4,49.9,53.4,9,12,10,0,0,92.2,43.2,24,2,6,78.6,6,Medium,4.7,No,No,No,No,Yes,Yes,No,Yes,2,3,2,2,5,2,5,Paid,No,No,0
2,23,Female,Urban,Central,>3,High,No,Together,Higher,Primary,Home,Teacher,Reputation,Father,6.79,40.3,47.6,49.5,52.5,34.8,45.6,12,15,14,0,0,88.8,53.8,48,2,4,66.2,4,Medium,4.8,No,Yes,No,Yes,Yes,Yes,No,Yes,2,3,4,2,3,5,4,Paid,No,No,0
3,23,Female,Urban,Central,>3,High,No,Together,Higher,Primary,Home,Teacher,Reputation,Father,7.22,40.9,56.3,60.3,48.4,54.9,63.6,13,10,12,0,1,69.5,59.8,72,3,2,65.0,4,Medium,5.0,No,Yes,No,No,Yes,Yes,No,Yes,2,3,5,3,3,4,2,Paid,No,No,0
4,24,Female,Urban,Central,>3,High,No,Together,Higher,Primary,Home,Teacher,Reputation,Father,7.11,53.2,40.8,52.0,50.0,59.3,57.0,15,14,14,0,0,70.7,59.1,96,4,4,42.4,2,Medium,5.9,Yes,Yes,No,Yes,Yes,Yes,No,Yes,2,3,2,2,3,4,2,Paid,No,No,0
1,23,Male,Urban,North,<=3,Low,Yes,Together,Primary,Higher,Healthcare,Home,Other,Father,5.34,41.8,38.5,47.6,32.6,59.2,42.6,11,9,10,2,0,65.3,45.1,16,1,9,56.2,7,Low,3.9,No,Yes,No,Yes,Yes,Yes,Yes,Yes,4,4,5,4,5,5,3,Paid,No,No,0
2,24,Male,Urban,North,<=3,Low,Yes,Together,Primary,Higher,Healthcare,Home,Other,Father,5.98,47.3,44.0,54.7,40.9,51.5,29.7,13,14,14,0,0,75.0,33.3,48,4,3,48.4,1,Medium,3.9,No,Yes,No,Yes,Yes,Yes,Yes,Yes,4,4,3,2,5,4,5,Partial,No,No,0
3,24,Male,Urban,North,<=3,Low,Yes,Together,Primary,Higher,Healthcare,Home,Other,Father,3.08,24.1,29.1,27.5,16.8,18.8,21.7,5,5,5,2,1,64.2,15.2,48,3,16,47.9,1,Low,2.4,Yes,No,No,No,Yes,Yes,Yes,Yes,4,4,4,1,5,4,3,Paid,No,No,0
4,25,Male,Urban,North,<=3,Low,Yes,Together,Primary,Higher,Healthcare,Home,Other,Father,4.29,25.6,20.5,25.3,22.6,28.7,50.6,9,5,7,3,3,46.1,26.2,48,4,11,30.3,2,Low,1.2,Yes,No,Yes,No,Yes,Yes,Yes,Yes,4,4,4,1,5,5,4,Paid,No,No,1
1,24,Female,Urban,North,>3,Middle,Yes,Together,Primary,Higher,Other,Services,Home_Proximity,Other,3.02,19.5,33.3,44.9,12.2,23.5,19.5,6,6,6,0,2,80.3,35.9,24,4,3,65.6,2,Low,3.3,No,Yes,Yes,No,Yes,Yes,No,No,2,5,3,1,2,5,5,Paid,No,No,0
2,25,Female,Urban,North,>3,Middle,Yes,Together,Primary,Higher,Other,Services,Home_Proximity,Other,3.86,39.9,19.6,40.4,35.1,23.6,41.3,6,8,7,4,2,66.0,24.5,16,3,5,53.5,4,Low,2.7,No,Yes,No,No,Yes,Yes,No,No,2,5,4,1,3,4,1,Paid,No,No,1
3,25,Female,Urban,North,>3,Middle,Yes,Together,Primary,Higher,Other,Services,Home_Proximity,Other,4.31,28.3,16.1,30.9,29.4,41.7,35.6,7,7,7,0,1,85.1,26.7,72,3,3,69.2,2,Low,2.7,No,No,No,No,Yes,Yes,No,No,2,5,4,1,1,1,3,Paid,No,No,0
4,26,Female,Urban,North,>3,Middle,Yes,Together,Primary,Higher,Other,Services,Home_Proximity,Other,3.33,36.0,24.3,34.4,31.5,27.2,30.4,6,9,8,3,3,69.5,30.6,48,4,9,53.4,3,Low,1.9,Yes,Yes,No,No,Yes,Yes,No,No,2,5,3,1,4,4,1,Paid,No,No,1
1,25,Female,Urban,North,<=3,Middle,Yes,Apart,Secondary,Primary,Teacher,Healthcare,Course,Mother,5.07,54.0,29.1,45.9,49.0,50.1,46.5,10,10,10,1,0,87.0,37.6,20,4,5,76.1,5,Low,4.7,No,Yes,No,No,Yes,No,No,No,4,5,2,1,3,1,2,Paid,No,No,0
2,26,Female,Urban,North,<=3,Middle,Yes,Apart,Secondary,Primary,Teacher,Healthcare,Course,Mother,7.57,55.6,62.1,45.0,66.1,51.9,56.6,16,18,17,0,0,64.7,61.9,48,3,14,61.5,9,High,4.9,No,Yes,No,No,Yes,No,No,No,4,5,3,2,4,1,5,Paid,No,No,0
3,26,Female,Urban,North,<=3,Middle,Yes,Apart,Secondary,Primary,Teacher,Healthcare,Course,Mother,7.14,54.0,51.3,44.5,50.5,35.1,49.5,14,16,15,0,0,80.2,53.5,72,4,5,91.4,3,Medium,5.8,No,No,No,Yes,Yes,No,No,No,4,5,4,1,4,5,3,Partial,No,No,0
4,27,Female,Urban,North,<=3,Middle,Yes,Apart,Secondary,Primary,Teacher,Healthcare,Course,Mother,10.0,78.8,79.8,77.6,71.3,72.6,69.8,19,20,20,1,0,80.5,88.6,80,3,2,53.8,7,High,10.0,Yes,Yes,No,Yes,Yes,No,No,No,4,5,4,3,1,2,3,Paid,No,No,0
1,18,Female,Urban,East,>3,Low,Yes,Together,Secondary,Unknown,Other,Other,Other,Father,5.09,31.7,55.2,28.8,21.4,41.0,34.5,7,8,8,0,0,87.3,34.2,24,1,4,74.6,8,Low,3.6,Yes,No,No,No,No,Yes,No,No,1,2,1,4,1,5,5,Partial,Yes,No,0
2,19,Female,Urban,East,>3,Low,Yes,Together,Secondary,Unknown,Other,Other,Other,Father,5.57,37.4,50.6,66.9,34.5,47.6,38.7,11,12,12,0,0,76.4,27.9,48,2,5,59.5,4,Medium,2.6,Yes,Yes,No,Yes,No,Yes,No,No,1,2,2,4,3,2,2,Unpaid,Yes,No,0
3,19,Female,Urban,East,>3,Low,Yes,Together,Secondary,Unknown,Other,Other,Other,Father,5.25,24.3,30.5,43.3,38.4,24.1,27.3,10,9,10,0,1,63.8,36.8,72,4,4,43.4,3,Low,5.9,No,No,No,No,No,Yes,No,No,1,2,1,2,5,4,2,Partial,Yes,No,0
4,20,Female,Urban,East,>3,Low,Yes,Together,Secondary,Unknown,Other,Other,Other,Father,5.91,55.1,36.9,27.9,40.5,35.8,58.6,9,11,10,0,0,56.2,49.9,96,4,9,34.9,2,Medium,3.2,No,No,Yes,No,No,Yes,No,No,1,2,3,2,3,1,4,Paid,Yes,No,1
1,18,Male,Urban,North,>3,Middle,Yes,Apart,Unknown,Higher,Teacher,Other,Home_Proximity,Mother,5.63,43.9,36.3,36.1,53.2,41.4,54.8,12,11,12,0,0,87.2,38.9,24,1,4,65.0,5,Medium,5.3,No,No,No,Yes,Yes,No,Yes,No,4,5,2,3,1,1,4,Paid,No,No,0
2,19,Male,Urban,North,>3,Middle,Yes,Apart,Unknown,Higher,Teacher,Other,Home_Proximity,Mother,6.54,44.4,55.2,41.9,42.5,51.0,52.5,11,14,12,0,0,77.9,51.2,48,1,1,55.4,6,Medium,5.0,No,Yes,No,Yes,Yes,No,Yes,No,4,5,4,4,1,4,5,Paid,No,No,0
3,19,Male,Urban,North,>3,Middle,Yes,Apart,Unknown,Higher,Teacher,Other,Home_Proximity,Mother,7.96,54.4,68.6,59.0,63.6,82.4,77.9,14,14,14,1,0,69.2,37.9,60,3,2,56.0,7,High,7.6,Yes,Yes,No,No,Yes,No,Yes,No,4,5,3,2,4,5,3,Partial,No,No,0
4,20,Male,Urban,North,>3,Middle,Yes,Apart,Unknown,Higher,Teacher,Other,Home_Proximity,Mother,8.08,63.6,63.5,41.4,61.1,61.9,45.8,14,15,14,1,0,74.6,47.7,80,2,1,53.5,4,High,7.0,No,No,Yes,Yes,Yes,No,Yes,No,4,5,2,2,3,3,3,Partial,No,No,0
1,21,Female,Urban,East,>3,High,No,Apart,Primary,Primary,Other,Teacher,Other,Father,6.64,50.7,40.4,68.0,59.8,51.0,50.7,11,12,12,0,0,74.2,40.5,24,2,2,72.5,1,Medium,3.9,Yes,Yes,No,No,No,Yes,No,Yes,4,5,3,3,1,4,5,Unpaid,Yes,No,0
2,22,Female,Urban,East,>3,High,No,Apart,Primary,Primary,Other,Teacher,Other,Father,5.31,22.4,40.9,31.9,39.8,37.0,48.6,9,11,10,0,0,88.6,27.2,48,3,2,75.3,3,Low,4.7,No,Yes,Yes,Yes,No,Yes,No,Yes,4,5,2,3,2,4,1,Partial,Yes,No,0
3,22,Female,Urban,East,>3,High,No,Apart,Primary,Primary,Other,Teacher,Other,Father,6.99,67.1,57.5,49.2,51.7,50.6,41.5,11,15,13,0,1,63.0,34.4,72,2,6,40.0,3,Medium,5.7,Yes,No,No,No,No,Yes,No,Yes,4,5,3,3,2,4,4,Partial,Yes,No,0
4,23,Female,Urban,East,>3,High,No,Apart,Primary,Primary,Other,Teacher,Other,Father,3.48,45.5,33.1,30.7,22.0,26.4,27.9,8,7,8,4,2,81.3,26.5,32,2,1,70.3,2,Low,3.6,Yes,No,No,No,No,Yes,No,Yes,4,5,5,2,2,5,2,Paid,Yes,No,1
1,21,Female,Urban,Central,<=3,High,Yes,Apart,Higher,Secondary,Services,Teacher,Course,Father,6.47,56.6,49.6,46.8,52.5,38.8,58.4,13,10,12,0,0,73.5,39.2,24,2,3,60.8,3,Medium,6.0,No,No,No,Yes,No,Yes,Yes,Yes,3,5,2,4,3,4,5,Partial,Yes,No,0
2,22,Female,Urban,Central,<=3,High,Yes,Apart,Higher,Secondary,Services,Teacher,Course,Father,4.37,13.4,41.0,14.2,29.1,33.9,17.6,9,6,8,1,3,72.3,29.2,40,4,3,42.7,3,Low,4.2,No,No,No,No,No,Yes,Yes,Yes,3,5,4,2,5,2,5,Paid,Yes,No,0
3,22,Female,Urban,Central,<=3,High,Yes,Apart,Higher,Secondary,Services,Teacher,Course,Father,3.31,14.1,3.0,25.4,22.8,21.8,34.9,4,6,5,6,1,73.1,34.5,0,2,3,55.0,5,Low,4.7,Yes,Yes,No,No,No,Yes,Yes,Yes,3,5,1,3,1,5,3,Partial,Yes,No,1
4,23,Female,Urban,Central,<=3,High,Yes,Apart,Higher,Secondary,Services,Teacher,Course,Father,5.73,45.2,49.5,43.7,38.6,50.6,53.3,12,12,12,0,0,59.5,47.2,96,3,16,44.0,4,Medium,3.4,Yes,Yes,No,Yes,No,Yes,Yes,Yes,3,5,4,2,3,1,2,Partial,Yes,No,0
1,22,Male,Urban,East,>3,Low,No,Apart,Secondary,Secondary,Healthcare,Other,Reputation,Mother,3.55,35.5,44.3,27.0,17.7,29.1,25.7,7,7,7,2,1,75.5,28.4,16,4,5,56.6,0,Low,3.9,Yes,Yes,Yes,No,Yes,Yes,No,Yes,3,3,3,2,3,4,5,Paid,No,Yes,0
